"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
45,57.220458984375
45.7393311309725,57.220458984375
46.4908091624167,57.220458984375
47.254633662814,57.220458984375
48.0310074794723,57.220458984375
48.8201367923956,57.220458984375
49.622231169039,57.220458984375
50.4375036199632,57.220458984375
51.2661706554027,57.220458984375
52.1084523427647,57.220458984375
52.9645723650715,57.220458984375
53.8347580803636,57.220458984375
54.7192405820789,57.220458984375
55.6182547604235,57.220458984375
56.5320393647511,57.220458984375
57.4608370669672,57.220458984375
58.404894525975,57.220458984375
59.3644624531799,57.220458984375
60.3397956790707,57.220458984375
61.3311532208942,57.220458984375
62.3387983514421,57.220458984375
63.3629986689674,57.220458984375
64.4040261682505,57.220458984375
65.4621573128318,57.220458984375
66.5376731084318,57.220458984375
67.6308591775771,76.2939453125
68.7420058354527,76.2939453125
69.8714081670004,76.2939453125
71.0193661052837,76.2939453125
72.1861845111409,76.2939453125
73.3721732541457,76.2939453125
74.577647294899,76.2939453125
75.8029267686725,76.2939453125
77.0483370704261,76.2939453125
78.3142089412223,76.2939453125
79.6008785560609,76.2939453125
80.9086876131555,76.2939453125
82.2379834246786,76.2939453125
83.5891190089957,76.2939453125
84.9624531844161,76.2939453125
86.3583506644836,76.2939453125
87.7771821548323,95.367431640625
89.2193244516349,95.367431640625
90.6851605416667,95.367431640625
92.1750797040155,95.367431640625
93.6894776134612,95.367431640625
95.2287564455542,95.367431640625
96.7933249834209,95.367431640625
98.3835987263228,95.367431640625
100,95.367431640625

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
45,120.311965942383
45.7393311309725,145.094985961914
46.4908091624167,148.59716796875
47.254633662814,137.831451416016
48.0310074794723,130.006942749023
48.8201367923956,127.390937805176
49.622231169039,142.710968017578
50.4375036199632,174.637817382812
51.2661706554027,-156.178329467773
52.1084523427647,-115.712829589844
52.9645723650715,-115.692344665527
53.8347580803636,-127.270233154297
54.7192405820789,-132.703582763672
55.6182547604235,-140.47834777832
56.5320393647511,-142.745666503906
57.4608370669672,-141.958023071289
58.404894525975,-147.502548217773
59.3644624531799,-147.621398925781
60.3397956790707,-149.375106811523
61.3311532208942,-156.438507080078
62.3387983514421,-156.641571044922
63.3629986689674,-157.96826171875
64.4040261682505,-157.527160644531
65.4621573128318,-157.480621337891
66.5376731084318,-161.573135375977
67.6308591775771,-160.180236816406
68.7420058354527,-160.257553100586
69.8714081670004,-160.850341796875
71.0193661052837,-162.851516723633
72.1861845111409,-162.722885131836
73.3721732541457,-163.066955566406
74.577647294899,-163.42887878418
75.8029267686725,-164.382781982422
77.0483370704261,-165.78938293457
78.3142089412223,-167.709762573242
79.6008785560609,-166.327865600586
80.9086876131555,-169.22688293457
82.2379834246786,-170.021850585937
83.5891190089957,-171.429244995117
84.9624531844161,-169.739501953125
86.3583506644836,8.91740417480469
87.7771821548323,-170.6337890625
89.2193244516349,-170.916534423828
90.6851605416667,-171.533416748047
92.1750797040155,-171.834823608398
93.6894776134612,-171.972900390625
95.2287564455542,-172.191604614258
96.7933249834209,-171.937850952148
98.3835987263228,-172.37158203125
100,-172.648651123047

