"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
10,9.98427581787109
10.1516781217792,10.1201343536377
10.305656868821,10.2403793334961
10.4619711365774,10.5506353378296
10.6206563497878,10.633171081543
10.7817484705076,10.7925157546997
10.9452840062579,10.9295349121094
11.1113000182988,11.1159200668335
11.2798341300289,11.2887449264526
11.4509245355112,11.4263048171997
11.6246100081294,11.5092430114746
11.8009299093743,11.7284154891968
11.9799241977644,11.9607591629028
12.1616334379019,12.2132577896118
12.3460988096647,12.3769674301147
12.5333621175397,12.5141916275024
12.7234658000964,12.7223787307739
12.9164529396044,12.9161281585693
13.1123672717973,13.1927461624146
13.3112531957838,13.2864723205566
13.5131557841102,13.519305229187
13.7181207929746,13.794638633728
13.9261946725964,13.9075708389282
14.1374245777435,14.1559715270996
14.3518583784182,14.3948402404785
14.5695446707062,14.5318374633789
14.7905327877892,14.6816463470459
15.0148728111258,15.0171031951904
15.2426155818003,15.1509351730347
15.4738127120453,15.4292392730713
15.7085165969379,15.7030162811279
15.946780426274,16.0793628692627
16.1886581966222,16.2800483703613
16.4342047235611,16.3363227844238
16.6834756541016,16.6673603057861
16.9365274792979,16.8812103271484
17.1934175470501,17.1727905273437
17.4542040751003,17.4879531860352
17.7189461642265,17.6727466583252
17.9877038116361,17.99635887146
18.2605379245631,18.3449020385742
18.5375103340706,18.5586776733398
18.8186838090641,18.869176864624
19.1041220705156,19.0312099456787
19.3938898059052,19.3972778320313
19.6880526838805,19.6361484527588
19.9866773691386,20.0276031494141
20.2898315375344,20.336633682251
20.5975838914173,20.6977767944336
20.9100041752013,20.930118560791
21.2271631911702,21.2438983917236
21.549132815524,21.5134754180908
21.8759860146669,21.9186248779297
22.2077968617441,22.2456874847412
22.5446405534285,22.4914283752441
22.8865934269616,22.8173122406006
23.2337329774542,23.3271865844727
23.5861378754481,23.5073757171631
23.9438879847454,23.9455547332764
24.3070643805072,24.2999706268311
24.6757493676273,24.6644515991211
25.0500264993849,25.0983734130859
25.4299805963795,25.4187412261963
25.8156977657535,25.7949695587158
26.2072654207064,26.1178188323975
26.6047723003046,26.6342678070068
27.0083084895919,26.980936050415
27.4179654400054,27.412691116333
27.8338359901001,27.8470306396484
28.2560143865889,28.2866535186768
28.6845963057013,28.6325740814209
29.1196788748657,29.105525970459
29.5613606947209,29.5719127655029
30.0097418614622,30.007007598877
30.4649239895247,30.4264850616455
30.9270102346124,30.8409061431885
31.3961053170756,31.3617076873779
31.8723155456432,31.8171997070312
32.355748841515,32.276741027832
32.846514762819,32.8052444458008
33.3447245294407,33.3109703063965
33.8504910482277,33.7915153503418
34.3639289385776,34.3337059020996
34.8851545584133,34.7897796630859
35.414286030553,35.3509368896484
35.9514432694796,35.8196029663086
36.4967480085162,36.4327697753906
37.0503238274142,36.9870681762695
37.6122961803596,37.5816345214844
38.1827924244035,38.1123313903809
38.7619418483254,38.703311920166
39.3498757019322,39.2453155517578
39.9467272258036,39.8783378601074
40.5526316814872,40.5352439880371
41.1677263821524,41.0549087524414
41.7921507237088,41.6571350097656
42.4260462163974,42.3452415466309
43.0695565168594,42.9629173278809
43.7228274606935,43.6414909362793
44.3860070955048,44.2957992553711
45.0592457144573,45.0062637329102
45.7426958903329,45.639274597168
46.4365125101092,46.3534469604492
47.1408528100601,47.0464820861816
47.8558764113901,47.7047348022461
48.5817453564078,48.5536231994629
49.3186241452493,48.9347305297852
50.0666797731579,49.9233283996582
50.8260817683292,49.0125999450684
51.5970022303308,52.1000022888184
52.3796158691041,52.5085678100586
53.1741000445583,53.2587089538574
53.9806348067641,54.0478401184082
54.799402936758,54.8357925415039
55.6305899879648,55.6145248413086
56.4743843282491,56.5167808532715
57.3309771826037,57.3291282653809
58.200562676486,58.1774635314941
59.0833378798122,59.1631813049316
59.9795028516178,59.9942207336426
60.8892606853961,60.8724136352539
61.8128175551246,61.8660621643066
62.7503827619887,62.7897834777832
63.7021687818152,63.6951637268066
64.6683913132239,64.715087890625
65.6492693265111,65.6570739746094
66.6450251132732,66.6375885009766
67.6558843367841,67.7192001342773
68.6820760831355,68.7171478271484
69.7238329131541,69.7529983520508
70.7813909151055,70.7935943603516
71.8549897581977,71.8832702636719
72.9448727468964,73.0274047851563
74.0512868760636,74.1335906982422
75.174482886933,75.2414245605469
76.3147153239342,76.3677673339844
77.4722425923791,77.493766784668
78.6473270170225,78.6895294189453
79.8402349015121,79.9303436279297
81.0512365887393,81.1331481933594
82.2806065221054,82.3723602294922
83.528623307718,83.5682144165039
84.7955697775297,84.7998733520508
86.081733053435,86.1315689086914
87.3874046123393,87.46630859375
88.7128803522151,88.7637176513672
90.0584606591598,90.0426788330078
91.4244504754705,91.4414901733398
92.811159368752,92.8465423583984
94.2189016020722,94.2666397094727
95.6479962051823,95.6223831176758
97.0987670468169,97.1260986328125
98.5715429080906,98.5751190185547
100.066657557008,100.061592102051
101.584449824105,102.300773620605
103.125263679235,102.922370910645
104.68944830952,104.48397064209
106.277358198488,106.088226318359
107.889353206409,107.531631469727
109.525798651841,109.717269897461
111.187065394428,110.928588867187
112.873529918945,112.530059814453
114.585574420615,114.484413146973
116.323586891725,115.871452331543
118.087961209561,117.785232543945
119.879097225661,119.96639251709
121.697400856439,121.318511962891
123.54328417517,123.093803405762
125.417165505382,124.973937988281
127.319469515655,126.984077453613
129.250627315861,129.253326416016
131.211076554866,131.216110229492
133.201261519713,133.294387817383
135.221633236306,134.844924926758
137.272649571626,136.730270385742
139.354775337494,139.205322265625
141.468482395909,141.29328918457
143.614249765986,143.313201904297
145.792563732509,145.692840576172
148.003917956141,148.437347412109
150.248813585296,150.132904052734
152.527759369713,152.010330200195
154.841271775752,155.018524169922
157.189875103437,156.881332397461
159.574101605276,159.861282348633
161.994491606885,162.296569824219
164.451593629436,164.122451782227
166.945964513967,167.333801269531
